input_len,n_hidden,network,learning_rate,epochs,sigma,noise_type,mse_error
10,5,mlp,0.1,500,0,iid,1.642949968676247e-08
10,5,mlp,0.1,500,0,wiener,1.8742902294782543e-09
10,5,mlp,0.1,500,0.01,iid,0.00015844593660224902
10,5,mlp,0.1,500,0.01,wiener,0.0005967687524355418
10,5,mlp,0.1,500,0.1,iid,0.014057185237642216
10,5,mlp,0.1,500,0.1,wiener,0.011114763246206855
10,5,lstm,0.001,10,0,iid,0.00729515375548989
10,5,lstm,0.001,10,0,wiener,0.018760052624862723
10,5,lstm,0.001,10,0.01,iid,0.016296373553576486
10,5,lstm,0.001,10,0.01,wiener,0.04902251647475404
10,5,lstm,0.001,10,0.1,iid,0.05493154698694377
10,5,lstm,0.001,10,0.1,wiener,0.49814201179287465
10,5,lstm,0.001,100,0,iid,0.00033743016040403917
10,5,lstm,0.001,100,0,wiener,0.0004318266198752401
10,5,lstm,0.001,100,0.01,iid,0.00037522927706631974
10,5,lstm,0.001,100,0.01,wiener,0.000521177932391235
10,5,lstm,0.001,100,0.1,iid,0.010511788456968896
10,5,lstm,0.001,100,0.1,wiener,2.1277554552055773
10,5,lstm,0.001,500,0,iid,2.8963435853018674e-06
10,5,lstm,0.001,500,0,wiener,1.1451608079889543e-06
10,5,lstm,0.001,500,0.01,iid,0.00017346435435336562
10,5,lstm,0.001,500,0.01,wiener,0.00013008753184537815
10,5,lstm,0.001,500,0.1,iid,0.011732270866486075
10,5,lstm,0.001,500,0.1,wiener,0.05975425872121154
10,5,lstm,0.01,10,0,iid,0.0001965223207497058
10,5,lstm,0.01,10,0,wiener,0.0002267305333893978
10,5,lstm,0.01,10,0.01,iid,0.0003114127654236365
10,5,lstm,0.01,10,0.01,wiener,0.0765968431096658
10,5,lstm,0.01,10,0.1,iid,0.011263226726547466
10,5,lstm,0.01,10,0.1,wiener,1.784948745355414
10,5,lstm,0.01,100,0,iid,1.820075043837602e-06
10,5,lstm,0.01,100,0,wiener,1.1285716291232541e-05
10,5,lstm,0.01,100,0.01,iid,0.00019816921261102386
10,5,lstm,0.01,100,0.01,wiener,0.00018635691051067436
10,5,lstm,0.01,100,0.1,iid,0.01169156099654973
10,5,lstm,0.01,100,0.1,wiener,2.2833716225962304
10,5,lstm,0.01,500,0,iid,1.1137941613677907e-07
10,5,lstm,0.01,500,0,wiener,1.5584246363613046e-06
10,5,lstm,0.01,500,0.01,iid,0.00014870027162832873
10,5,lstm,0.01,500,0.01,wiener,0.0009100216664806719
